name,position,team,game,salary,value,ceilingValue,consensus,p90,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,uncertainty,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
panthers,D,CAR,NO@CAR,3600,2.08,3.947,8.25,14.21,7.5,,,,,,0.424,22.00,15.50,0,0,,: 
ravens,D,BAL,BAL@MIN,3500,2,3.171,7,11.1,7,,,,,,0.36,23.00,25.50,0,0,,: 
lions,D,DET,DET@WAS,4100,1.93,3.056,7.9,12.53,7.9,,,,,,0.36,29.00,20.50,+3000,3.23,,: 
giants,D,NYG,NYG@CHI,3100,1.87,2.968,5.8,9.2,5.8,,,,,,0.36,21.00,24.50,0,0,,: 
bears,D,CHI,NYG@CHI,3800,1.84,2.921,7,11.1,7,,,,,,0.36,24.50,21.00,0,0,,: 
jaguars,D,JAC,JAC@HOU,4200,1.76,2.793,7.4,11.73,7.4,,,,,,0.36,,,0,0,,: 
cardinals,D,ARI,ARI@SEA,3100,1.68,2.661,5.2,8.25,5.2,,,,,,0.36,18.75,25.75,+2500,3.85,,: 
rams,D,LAR,LAR@SF,4500,1.62,2.573,7.3,11.58,7.3,,,,,,0.36,27.50,22.00,+2500,3.85,,: 
saints,D,NO,NO@CAR,3400,1.62,2.565,5.5,8.72,5.5,,,,,,0.36,15.50,22.00,0,0,,: 
buccaneers,D,TB,NE@TB,3900,1.59,2.521,6.2,9.83,6.2,,,,,,0.36,23.50,25.00,0,0,,: 
seahawks,D,SEA,ARI@SEA,5000,1.58,2.506,7.9,12.53,7.9,,,,,,0.36,25.75,18.75,+2500,3.85,,: 
jets,D,NYJ,CLE@NYJ,4000,1.57,2.498,6.3,9.99,6.3,,,,,,0.36,27.50,23.00,0,0,,: 
browns,D,CLE,CLE@NYJ,4600,1.76,2.491,7.29,11.46,8.1,,,,,,0.353,23.00,27.50,0,0,,: 
texans,D,HOU,JAC@HOU,4900,1.51,2.394,7.4,11.73,7.4,,,,,,0.36,14.00,23.50,0,0,,: 
bills,D,BUF,BUF@MIA,4400,1.68,2.38,6.66,10.47,7.4,,,,,,0.353,25.50,27.00,0,0,,: 
packers,D,GB,PHI@GB,3900,1.49,2.359,5.8,9.2,5.8,,,,,,0.36,23.50,22.00,+2500,3.85,,: 
dolphins,D,MIA,BUF@MIA,3000,1.47,2.327,4.4,6.98,4.4,,,,,,0.36,27.00,25.50,0,0,,: 
49ers,D,SF,LAR@SF,3300,1.64,2.315,4.86,7.64,5.4,,,,,,0.353,22.00,27.50,+2500,3.85,,: 
vikings,D,MIN,BAL@MIN,3700,1.43,2.27,5.3,8.4,5.3,,,,,,0.36,25.50,23.00,0,0,,: 
steelers,D,PIT,PIT@LAC,4300,1.35,2.14,5.8,9.2,5.8,,,,,,0.36,21.25,24.25,+2800,3.45,,: 
chargers,D,LAC,PIT@LAC,4500,1.33,2.113,6,9.51,6,,,,,,0.36,24.25,21.25,+2800,3.45,,: 
eagles,D,PHI,PHI@GB,4300,1.28,2.028,5.5,8.72,5.5,,,,,,0.36,22.00,23.50,+2500,3.85,,: 
patriots,D,NE,NE@TB,4800,1.27,2.015,6.1,9.67,6.1,,,,,,0.36,25.00,23.50,0,0,,: 
commanders,D,WAS,DET@WAS,3200,1.38,1.944,3.96,6.22,4.4,,,,,,0.353,20.50,29.00,+2800,3.45,,: 
