name,position,team,game,salary,value,ceilingValue,consensus,p90,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,uncertainty,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
elic ayomanor,WR,TEN,LAC@TEN,5200,1.42,3.142,11.44,16.34,7.4,10.71,6.16,16.78,8.63,11.42,3.5,16.75,26.75,+2200,4.35,4883647,: 
chimere dike,WR,TEN,LAC@TEN,5300,1.47,3.081,11.78,16.33,7.8,11.23,6.55,16.3,9.42,11.43,3.18,16.75,26.75,+2000,4.76,4431268,: 
van jefferson,WR,TEN,LAC@TEN,4700,0.98,3.068,9.86,14.42,4.6,9.6,5.74,15.87,6.58,10.45,3.8,16.75,26.75,+2800,3.45,3930066,: 
calvin austin,WR,PIT,IND@PIT,5600,1.21,2.939,11.3,16.46,6.8,11.01,5.64,15.83,9.25,11.61,3.39,23.50,27.00,+1900,5.00,4243389,: 
keon coleman,WR,BUF,KC@BUF,5200,1.54,2.89,10.53,15.03,8,10.64,6.14,16.59,8.53,11.33,3.38,25.00,27.50,+1500,6.25,4635008,: 
darius slayton,WR,NYG,SF@NYG,5500,1.44,2.849,10.76,15.67,7.9,11.41,6.28,16.62,8.74,11.6,3.39,,,+1500,6.25,3916945,: 
jakobi meyers,WR,LV,JAC@LV,5400,1.56,2.844,10.97,15.36,8.4,10.67,6.14,16.67,9.95,11.35,3.3,20.25,23.25,+1100,8.33,3916433,: 
tory horton,WR,SEA,SEA@WAS,4700,1.26,2.838,8.88,13.34,5.9,9.02,4.69,15.69,6.29,9.82,3.72,25.75,22.75,+1300,7.14,4597703,: 
jauan jennings,WR,SF,SF@NYG,6100,1.52,2.828,12.51,17.25,9.3,13.37,6.6,18.35,11.53,12.92,3.72,,,+1100,8.33,3886598,: 
stefon diggs,WR,NE,ATL@NE,6200,1.79,2.806,12.67,17.4,11.1,13.52,6.24,17.89,11.35,12.32,3.54,25.50,20.00,+900,10.00,2976212,: 
parker washington,WR,JAC,JAC@LV,5300,1.45,2.753,10.01,14.59,7.7,9.93,5.89,15.99,7.53,10.63,3.33,,,+1100,8.33,4432620,: 
darnell mooney,WR,ATL,ATL@NE,5700,1.35,2.719,11.28,15.5,7.7,10.89,5.55,15.67,8.46,11.48,3.28,20.00,25.50,+1600,5.88,4040655,: 
tetairoa mcmillan,WR,CAR,CAR@GB,6700,1.55,2.704,13.44,18.12,10.4,12.66,6.57,17.94,11.13,12.43,3.43,15.50,28.00,+1500,6.25,4685472,: 
khalil shakir,WR,BUF,KC@BUF,6100,1.64,2.679,12.07,16.34,10,12.54,6.54,17.9,11.01,12.39,3.46,25.00,27.50,+1600,5.88,4373678,: 
chris moore,WR,WAS,SEA@WAS,5000,0.88,2.67,8.33,13.35,4.4,8.99,4.69,15.69,5.6,9.81,3.96,22.75,25.75,+3000,3.23,2576581,: 
michael pittman,WR,IND,IND@PIT,7200,1.64,2.664,15.17,19.18,11.8,15.61,9.89,19.86,14.04,16.15,3.27,27.00,23.50,+1100,8.33,4035687,: 
mack hollins,WR,NE,ATL@NE,4800,1.13,2.656,8.2,12.75,5.4,8.77,4.32,15.06,5.62,9.15,3.63,25.50,20.00,+2500,3.85,2991662,: 
marvin harrison,WR,ARI,ARI@DAL,6600,1.74,2.629,12.66,17.35,11.5,13.62,6.22,17.93,11.29,12.34,3.53,,,+1100,8.33,4432708,: 
tre tucker,WR,LV,JAC@LV,5500,1.55,2.622,10.11,14.42,8.5,9.59,5.73,15.86,8.16,10.44,3.17,20.25,23.25,+1100,8.33,4428718,: 
justin jefferson,WR,MIN,MIN@DET,8700,1.57,2.607,17.62,22.68,13.7,16.17,9.92,21.01,15.21,16.8,3.4,19.00,28.50,+1300,7.14,4262921,: 
jaxon smithnjigba,WR,SEA,SEA@WAS,9600,1.82,2.595,18.33,24.91,17.5,20.98,7.66,21.03,21.03,14.47,5.04,25.75,22.75,+600,14.29,4430878,: 
chris olave,WR,NO,NO@LAR,7100,1.51,2.582,13.76,18.33,10.7,14.28,6.06,17.46,12.46,12.51,3.51,14.75,28.75,+2200,4.35,4361370,: 
drake london,WR,ATL,ATL@NE,7700,1.65,2.575,15.03,19.83,12.7,13.16,6.57,18.18,15.56,12.79,3.6,20.00,25.50,+1200,7.69,4426502,: 
christian kirk,WR,HOU,DEN@HOU,5600,1,2.545,9.64,14.25,5.6,10,5.93,16.1,7.93,10.73,3.6,21.00,19.50,+1700,5.56,3895856,: 
romeo doubs,WR,GB,CAR@GB,6300,1.57,2.543,11.46,16.02,9.9,11.65,6.54,17.3,10.04,12.16,3.34,28.00,15.50,+750,11.76,4361432,: 
